Timestamp,Symbol,Action,Open/Close/Add,Cost basis,Quantity,PnL
2023-03-30 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2399,0.0,73.125
2023-04-03 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2407,13,
2023-04-03 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2407,0.0,260.00000000001455
2023-04-12 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2466,15,
2023-04-12 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2466,0.0,375.00000000001455
2023-04-13 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.255,7,
2023-04-13 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.255,0.0,-13.125
2023-04-20 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2469,15,
2023-04-20 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2469,0.0,-149.99999999998545
2023-04-24 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2468,15,
2023-04-24 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2468,0.0,309.37500000001455
2023-04-26 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2487,15,
2023-04-26 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2487,0.0,-28.125
2023-05-01 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2569,15,
2023-05-01 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2569,0.0,-590.6249999999854
2023-05-10 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2685,10,
2023-05-10 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2685,0.0,-293.74999999998545
2023-05-30 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.243,13,
2023-05-30 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.243,0.0,-97.50000000001455
2023-06-01 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2489,11,
2023-06-01 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2489,0.0,281.875
2023-06-07 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2468,15,
2023-06-07 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2468,0.0,-206.24999999998545
2023-06-08 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2486,15,
2023-06-08 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2486,0.0,712.5
2023-06-13 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2596,5,
2023-06-13 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2596,0.0,50.000000000007276
2023-06-14 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2676,5,
2023-06-14 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2676,0.0,18.75
2023-06-15 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2682,15,
2023-06-15 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2682,0.0,1087.5
2023-07-03 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2697,15,
2023-07-03 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2697,0.0,-28.125
2023-07-04 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2739,6,
2023-07-04 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2739,0.0,-78.74999999999272
